stat_id	stat_nm	lat	lon	link_id	dist_m
ME20A1a0	반포4동주민센터 공영주차장	37.496299	127.002285	1210021800	305.68
ME20A1a1	방배1동 공영주차장	37.485166	126.992489	1210015600	214.14
ME20A1a2	무궁화 공영주차장	37.492899	127.01638	1210021100	163.07
ME20A1a3	청계산근린광장 공영주차장	37.44613	127.056479	1210000701	67.41
ME20A1a4	양재근린공원 공영주차장	37.475064	127.051703	1220000100	283.99
ME20A1a5	영등포본동제2공영주차장	37.513514	126.9139	1180016300	229.4
ME20A1a6	한국상하수도협회	37.502455	126.897106	1180010100	33.31
ME20A1a7	면목2동공영주차장	37.58793511	127.0808933	1060000800	75.94
ME20A1a8	중화제1공영주차장	37.59871	127.072706	1060004100	82.84
ME20A1a9	중화제4공영주차장	37.59567	127.079469	1060001700	93.75
ME20A1b0	중랑역제1공영주차장	37.595325	127.077539	3201501200	79.33
ME20A278	광진문화예술회관	37.5375337	127.0705319	1040009100	80.78
ME20A279	한국과학기술원 서울캠퍼스	37.5921192	127.0473764	1050018700	50.46
ME20A280	서울시설공단	37.571579	127.036101	1050005600	35.2
ME20A301	현대백화점 목동점	37.526755	126.875324	1140022000	65.91
ME20A409	마포구청	37.567121	126.9017038	1130023100	164.16
ME20A410	국회 서편 주차장	37.5318027	126.9127433	1180038100	112.52
ME20A411	국회 헌정기념관 주차장	37.53175	126.919483	1180038600	129.61
ME21A114	한국교통안전공단 구로자동차검사소	37.4923673	126.8345242	1160000500	69.59
ME21A128	금천종합복지타운	37.4498682	126.914594	1170002100	18.86
ME21B131	화곡6-1 공영주차장	37.5529955	126.8484225	1150011600	81.4
ME21B132	볏골공원 공영주차장	37.5413318	126.8444607	1150010500	156.61
ME21B133	화곡8-2 공영주차장	37.5376322	126.8504106	1150008700	573.43
ME21B157	쌍문1동 2공영주차장	37.6485169	127.02579	1090017200	114.93
ME21B164	번동 햇살 공영주차장	37.624958	127.0332077	1080003800	242.56
ME21B168	자양2동 유수지 주차장	37.5299304	127.0770995	1040000200	136.5
ME21B171	서울서부경찰서	37.6020296	126.9214743	1110009200	100.9
