addr	busi_call	busi_id	lat	lng	note	stat_id	stat_nm	year	zcode	zscode
서울특별시 서초구 매헌로 24	1661-7766	EV	37.4634392	127.0355257	관계자 외 사용불가	EV003994	농협은행 NH디지털캠퍼스양재센터	2021	11	11650
서울특별시 중랑구 양원역로 2	1661-7766	EV	37.6008269	127.1086166	관계자 외 사용불가	EV004015	일흥교통_2	2021	11	11260
서울특별시 강서구 양천로55길 55	1661-7766	EV	37.5663285	126.8481832	외부인 사용불가	EV004016	서울강서 한강자이아파트	2021	11	11500
서울특별시 마포구 모래내로9길 6	1661-7766	EV	37.5671323	126.9141552	외부인 사용불가	EV004017	서울마포 월드컵아이파크1단지1	2021	11	11440
서울특별시 마포구 모래내로9길 6	1661-7766	EV	37.567744001	126.91523620	외부인 사용불가	EV004018	서울마포 월드컵아이파크1단지2	2021	11	11440
서울특별시 노원구 덕릉로94가길 20	1661-7766	EV	37.6625064	127.0781111	외부인 사용불가	EV004019	서울노원 청암2단지1	2021	11	11350
서울특별시 노원구 덕릉로94가길 20	1661-7766	EV	37.6625064	127.0781111	외부인 사용불가	EV004020	서울노원 청암2단지2	2021	11	11350
서울특별시 노원구 덕릉로94가길 20	1661-7766	EV	37.6625064	127.0781111	외부인 사용불가	EV004021	서울노원 청암2단지3	2021	11	11350
서울특별시 노원구 덕릉로94가길 20	1661-7766	EV	37.662591077	127.07817904	외부인 사용불가	EV004022	서울노원 청암2단지4	2021	11	11350
서울특별시 노원구 한글비석로46가길 34	1661-7766	EV	37.6668186	127.0675504	외부인 사용불가	EV004023	서울노원 상계한신아파트	2021	11	11350
서울특별시 양천구 중앙로53길 5	1661-7766	EV	37.5258113	126.8490877	외부인 사용불가	EV004024	서울양천 서울가든아파트	2021	11	11470
서울특별시 강동구 고덕로62길 29	1661-7766	EV	37.5543173	127.1542273	외부인 사용불가	EV004025	서울강동 고덕삼환아파트	2021	11	11740
서울특별시 관악구 장군봉8길 16	1661-7766	EV	37.4812676	126.9386624	외부인 사용불가	EV004028	서울관악 무학아파트	2021	11	11620
서울특별시 송파구 위례광장로 170	1661-7766	EV	37.479896	127.1423248	외부인 사용불가	EV004033	힐스테이트송파위례	2021	11	11710
서울특별시 관악구 신림로3길 35	1661-7766	EV	37.4675977	126.9448709	외부인 사용불가	EV004034	서울관악 관악문화관도서관	2021	11	11620
서울특별시 용산구 서빙고로51길 64	1661-7766	EV	37.5227431	126.9915067	외부인 사용불가	EV004036	서울용산 그린파크아파트	2021	11	11170
서울특별시 용산구 백범로99길 40	1661-7766	EV	37.5358259	126.9716393	외부인 사용불가	EV004040	서울용산 베르디움프렌즈아파트	2021	11	11170
서울특별시 도봉구 노해로66길 21	1661-7766	EV	37.651099866	127.04690529	외부인 사용 불가	EV004061	서울도봉 창동삼성아파트 1주차장	2023	11	11320
서울특별시 도봉구 노해로66길 21	1661-7766	EV	37.650683025	127.04724782	외부인 사용 불가	EV004062	서울도봉 창동삼성아파트 3주차장	2023	11	11320
서울특별시 도봉구 노해로66길 21	1661-7766	EV	37.650448791	127.04719384	외부인 사용 불가	EV004064	서울도봉 창동삼성아파트 6주차장	2023	11	11320
서울특별시 도봉구 노해로66길 21	1661-7766	EV	37.650391613	127.04733092	외부인 사용 불가	EV004065	서울도봉 창동삼성아파트 6-1주차장	2023	11	11320
서울특별시 동대문구 장안벚꽃로 167	1661-7766	EV	37.574478102	127.07607184	외부인 사용불가	EV004090	서울동대문 래미안장안2차 202동	2021	11	11230
서울특별시 동대문구 장안벚꽃로 167	1661-7766	EV	37.574135432	127.07652429	외부인 사용불가	EV004091	서울동대문 래미안장안2차 203동	2021	11	11230
서울특별시 동대문구 장안벚꽃로 167	1661-7766	EV	37.574496630	127.07527944	외부인 사용불가	EV004092	서울동대문 래미안장안2차 209동	2021	11	11230
서울특별시 동대문구 장안벚꽃로 167	1661-7766	EV	37.573665190	127.07570594	외부인 사용불가	EV004093	서울동대문 래미안장안2차 212동	2021	11	11230
서울특별시 강동구 풍성로 235(둔촌동)	1661-7766	EV	37.5286364	127.1378923		EV004117	서울강동 하이랜드푸드	2023	11	11740
서울특별시 영등포구 도영로22길 31	1661-7766	EV	37.5107194	126.9021825	외부인 사용불가	EV004161	서울영등포 영원초등학교	2021	11	11560
서울특별시 성북구 보문로29다길 31	1661-7766	EV	37.583561265	127.01409821	외부인 사용불가	EV004186	서울성북 삼선푸르지오 3주차장	2021	11	11290
